"Area name","Area code","Area type","Specimen date","Daily lab-confirmed cases","Cumulative lab-confirmed cases"
"Southwark","E09000028","Upper tier local authority","2020-02-28",1,3
"Barnet","E09000003","Upper tier local authority","2020-02-28",1,2
"London","E12000007","Region","2020-02-28",5,15
"Essex","E10000012","Upper tier local authority","2020-02-28",1,1
"South East","E12000008","Region","2020-02-28",1,11
"Nottingham","E06000018","Upper tier local authority","2020-02-28",1,1
"Hounslow","E09000018","Upper tier local authority","2020-02-28",1,1
"Wigan","E08000010","Upper tier local authority","2020-02-28",1,1
"Yorkshire and The Humber","E12000003","Region","2020-02-28",1,3
"England","E92000001","Country","2020-02-29",4,51
"Sheffield","E08000019","Upper tier local authority","2020-02-29",1,1
"Yorkshire and The Humber","E12000003","Region","2020-02-29",1,4
"Northamptonshire","E10000021","Upper tier local authority","2020-02-29",1,1
"Kingston upon Thames","E09000021","Upper tier local authority","2020-02-29",1,1
"East Midlands","E12000004","Region","2020-02-29",1,5
"London","E12000007","Region","2020-02-29",1,16
"Sheffield","E08000019","Upper tier local authority","2020-03-01",1,2
"Walsall","E08000030","Upper tier local authority","2020-03-01",1,1
"Wandsworth","E09000032","Upper tier local authority","2020-03-01",1,1
"Bury","E08000002","Upper tier local authority","2020-03-01",3,3
"Leicestershire","E10000018","Upper tier local authority","2020-03-01",1,2
"Buckinghamshire","E10000002","Upper tier local authority","2020-03-01",1,1
"East of England","E12000006","Region","2020-03-01",3,5
"Kingston upon Hull, City of","E06000010","Upper tier local authority","2020-03-01",1,1
"Bromley","E09000006","Upper tier local authority","2020-03-01",1,1
"West Midlands","E12000005","Region","2020-03-01",2,4
"Hounslow","E09000018","Upper tier local authority","2020-03-01",1,2
"Barnet","E09000003","Upper tier local authority","2020-03-01",1,3
"Stockport","E08000007","Upper tier local authority","2020-03-01",1,1
"England","E92000001","Country","2020-03-01",31,82
"Barking and Dagenham","E09000002","Upper tier local authority","2020-03-01",1,1
"Leeds","E08000035","Upper tier local authority","2020-03-01",1,2
"West Sussex","E10000032","Upper tier local authority","2020-03-01",2,3
"Lancashire","E10000017","Upper tier local authority","2020-03-01",2,2
"South East","E12000008","Region","2020-03-01",3,14
"East Midlands","E12000004","Region","2020-03-01",1,6
"London","E12000007","Region","2020-03-01",8,24
"Bradford","E08000032","Upper tier local authority","2020-03-01",1,1
"Gloucestershire","E10000013","Upper tier local authority","2020-03-01",1,2
"Bolton","E08000001","Upper tier local authority","2020-03-01",1,1
"North West","E12000002","Region","2020-03-01",8,9
"Wiltshire","E06000054","Upper tier local authority","2020-03-01",1,1
"Hertfordshire","E10000015","Upper tier local authority","2020-03-01",3,4
"Merton","E09000024","Upper tier local authority","2020-03-01",1,1
"Westminster","E09000033","Upper tier local authority","2020-03-01",1,1
"Wirral","E08000015","Upper tier local authority","2020-03-01",1,1
"South West","E12000009","Region","2020-03-01",2,5
"Ealing","E09000009","Upper tier local authority","2020-03-01",1,2
"Yorkshire and The Humber","E12000003","Region","2020-03-01",4,8
"Birmingham","E08000025","Upper tier local authority","2020-03-01",1,1
"South West","E12000009","Region","2020-03-02",8,13
"Yorkshire and The Humber","E12000003","Region","2020-03-02",3,11
"North East","E12000001","Region","2020-03-02",1,1
"Newcastle upon Tyne","E08000021","Upper tier local authority","2020-03-02",1,1
"London","E12000007","Region","2020-03-02",12,36
"York","E06000014","Upper tier local authority","2020-03-02",1,2
"South East","E12000008","Region","2020-03-02",1,15
"Oxfordshire","E10000025","Upper tier local authority","2020-03-02",1,1
"Warwickshire","E10000031","Upper tier local authority","2020-03-02",2,3
"Hounslow","E09000018","Upper tier local authority","2020-03-02",1,3
"Liverpool","E08000012","Upper tier local authority","2020-03-02",1,1
"West Midlands","E12000005","Region","2020-03-02",4,8
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-03-02",4,6
"Barnsley","E08000016","Upper tier local authority","2020-03-02",1,2
"Ealing","E09000009","Upper tier local authority","2020-03-02",1,3
"Wandsworth","E09000032","Upper tier local authority","2020-03-02",1,2
"Hillingdon","E09000017","Upper tier local authority","2020-03-02",1,1
"Birmingham","E08000025","Upper tier local authority","2020-03-02",1,2
"Trafford","E08000009","Upper tier local authority","2020-03-02",3,3
"Torbay","E06000027","Upper tier local authority","2020-03-02",4,4
"North West","E12000002","Region","2020-03-02",6,15
"Redbridge","E09000026","Upper tier local authority","2020-03-02",1,2
"Devon","E10000008","Upper tier local authority","2020-03-02",3,5
"Rotherham","E08000018","Upper tier local authority","2020-03-02",1,1
"East Midlands","E12000004","Region","2020-03-02",2,8
"Staffordshire","E10000028","Upper tier local authority","2020-03-02",1,1
"Camden","E09000007","Upper tier local authority","2020-03-02",2,2
"Southwark","E09000028","Upper tier local authority","2020-03-02",1,4
"Derbyshire","E10000007","Upper tier local authority","2020-03-02",2,3
"England","E92000001","Country","2020-03-02",39,121
"Cheshire West and Chester","E06000050","Upper tier local authority","2020-03-02",1,1
"Cornwall and Isles of Scilly","E06000052","Upper tier local authority","2020-03-02",1,1
"Oldham","E08000004","Upper tier local authority","2020-03-02",1,1
"Lincolnshire","E10000019","Upper tier local authority","2020-03-03",2,2
"Cambridgeshire","E10000003","Upper tier local authority","2020-03-03",1,1
"Nottinghamshire","E10000024","Upper tier local authority","2020-03-03",3,4
"East of England","E12000006","Region","2020-03-03",7,12
"Staffordshire","E10000028","Upper tier local authority","2020-03-03",1,2
"Wiltshire","E06000054","Upper tier local authority","2020-03-03",2,3
"London","E12000007","Region","2020-03-03",6,42
"Milton Keynes","E06000042","Upper tier local authority","2020-03-03",1,2
"England","E92000001","Country","2020-03-03",52,173
"Devon","E10000008","Upper tier local authority","2020-03-03",6,11
"Harrow","E09000015","Upper tier local authority","2020-03-03",1,1
"Bristol, City of","E06000023","Upper tier local authority","2020-03-03",1,1
"Essex","E10000012","Upper tier local authority","2020-03-03",1,2
"Lambeth","E09000022","Upper tier local authority","2020-03-03",1,1
"Surrey","E10000030","Upper tier local authority","2020-03-03",2,4
"Derbyshire","E10000007","Upper tier local authority","2020-03-03",1,4
"South East","E12000008","Region","2020-03-03",9,24
"North Yorkshire","E10000023","Upper tier local authority","2020-03-03",1,1
"Oxfordshire","E10000025","Upper tier local authority","2020-03-03",3,4
"South West","E12000009","Region","2020-03-03",10,23
"Swindon","E06000030","Upper tier local authority","2020-03-03",1,1
"Liverpool","E08000012","Upper tier local authority","2020-03-03",2,3
"Bracknell Forest","E06000036","Upper tier local authority","2020-03-03",1,1
"Manchester","E08000003","Upper tier local authority","2020-03-03",1,1
"Sheffield","E08000019","Upper tier local authority","2020-03-03",1,3
"North West","E12000002","Region","2020-03-03",7,22
"Cumbria","E10000006","Upper tier local authority","2020-03-03",2,2
"Northamptonshire","E10000021","Upper tier local authority","2020-03-03",1,2
"Hertfordshire","E10000015","Upper tier local authority","2020-03-03",5,9
"East Midlands","E12000004","Region","2020-03-03",7,15
"Hounslow","E09000018","Upper tier local authority","2020-03-03",1,4
"West Midlands","E12000005","Region","2020-03-03",1,9
"Westminster","E09000033","Upper tier local authority","2020-03-03",1,2
"Ealing","E09000009","Upper tier local authority","2020-03-03",1,4
"Kent","E10000016","Upper tier local authority","2020-03-03",1,3
"Wigan","E08000010","Upper tier local authority","2020-03-03",2,3
"Yorkshire and The Humber","E12000003","Region","2020-03-03",3,14
"Wandsworth","E09000032","Upper tier local authority","2020-03-03",1,3
"Wokingham","E06000041","Upper tier local authority","2020-03-03",1,2
"Barnsley","E08000016","Upper tier local authority","2020-03-03",1,3
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-03-04",4,10
"Hammersmith and Fulham","E09000013","Upper tier local authority","2020-03-04",1,1
"Hertfordshire","E10000015","Upper tier local authority","2020-03-04",2,11
"Tower Hamlets","E09000030","Upper tier local authority","2020-03-04",2,2
"Southampton","E06000045","Upper tier local authority","2020-03-04",1,1
"Sheffield","E08000019","Upper tier local authority","2020-03-04",1,4
"Trafford","E08000009","Upper tier local authority","2020-03-04",1,4
"Medway","E06000035","Upper tier local authority","2020-03-04",2,3
"Hillingdon","E09000017","Upper tier local authority","2020-03-04",1,2
"East Midlands","E12000004","Region","2020-03-04",2,17
"Ealing","E09000009","Upper tier local authority","2020-03-04",1,5
"Staffordshire","E10000028","Upper tier local authority","2020-03-04",1,3
"West Midlands","E12000005","Region","2020-03-04",3,12
"England","E92000001","Country","2020-03-04",49,222
"Newcastle upon Tyne","E08000021","Upper tier local authority","2020-03-04",1,2
"Manchester","E08000003","Upper tier local authority","2020-03-04",1,2
"Luton","E06000032","Upper tier local authority","2020-03-04",2,2
"Isle of Wight","E06000046","Upper tier local authority","2020-03-04",1,1
"East of England","E12000006","Region","2020-03-04",7,19
"Warwickshire","E10000031","Upper tier local authority","2020-03-04",2,5
"Barnet","E09000003","Upper tier local authority","2020-03-04",4,7
"Cornwall and Isles of Scilly","E06000052","Upper tier local authority","2020-03-04",1,2
"North West","E12000002","Region","2020-03-04",2,24
"Devon","E10000008","Upper tier local authority","2020-03-04",3,14
"South West","E12000009","Region","2020-03-04",6,29
"Essex","E10000012","Upper tier local authority","2020-03-04",2,4
"South East","E12000008","Region","2020-03-04",7,31
"Lewisham","E09000023","Upper tier local authority","2020-03-04",1,2
"Hampshire","E10000014","Upper tier local authority","2020-03-04",1,2
"Westminster","E09000033","Upper tier local authority","2020-03-04",1,3
"Sutton","E09000029","Upper tier local authority","2020-03-04",1,1
"Derbyshire","E10000007","Upper tier local authority","2020-03-04",2,6
"Southwark","E09000028","Upper tier local authority","2020-03-04",1,5
"Leeds","E08000035","Upper tier local authority","2020-03-04",1,3
"Lambeth","E09000022","Upper tier local authority","2020-03-04",1,2
"North East","E12000001","Region","2020-03-04",1,2
"Brighton and Hove","E06000043","Upper tier local authority","2020-03-04",1,3
"Gloucestershire","E10000013","Upper tier local authority","2020-03-04",1,3
"Buckinghamshire","E10000002","Upper tier local authority","2020-03-04",1,2
"Yorkshire and The Humber","E12000003","Region","2020-03-04",2,16
"Wiltshire","E06000054","Upper tier local authority","2020-03-04",1,4
"London","E12000007","Region","2020-03-04",18,60
"Southend-on-Sea","E06000033","Upper tier local authority","2020-03-04",1,1
"Warwickshire","E10000031","Upper tier local authority","2020-03-05",2,7
"Nottingham","E06000018","Upper tier local authority","2020-03-05",1,2
"Barnet","E09000003","Upper tier local authority","2020-03-05",1,8
"Stockport","E08000007","Upper tier local authority","2020-03-05",1,2
"Ealing","E09000009","Upper tier local authority","2020-03-05",1,6
"North West","E12000002","Region","2020-03-05",10,34
"Cornwall and Isles of Scilly","E06000052","Upper tier local authority","2020-03-05",1,3
"Devon","E10000008","Upper tier local authority","2020-03-05",1,15
"East Midlands","E12000004","Region","2020-03-05",3,20
"Cumbria","E10000006","Upper tier local authority","2020-03-05",2,4
"South West","E12000009","Region","2020-03-05",4,33
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-03-05",6,16
"Staffordshire","E10000028","Upper tier local authority","2020-03-05",1,4
"South East","E12000008","Region","2020-03-05",4,35
"Wokingham","E06000041","Upper tier local authority","2020-03-05",1,3
"Oldham","E08000004","Upper tier local authority","2020-03-05",1,2
"Kent","E10000016","Upper tier local authority","2020-03-05",2,5
"West Midlands","E12000005","Region","2020-03-05",6,18
"Coventry","E08000026","Upper tier local authority","2020-03-05",1,1
"Bournemouth, Christchurch and Poole","E06000058","Upper tier local authority","2020-03-05",2,2
"Hampshire","E10000014","Upper tier local authority","2020-03-05",1,3
"Westminster","E09000033","Upper tier local authority","2020-03-05",1,4
"Manchester","E08000003","Upper tier local authority","2020-03-05",2,4
"Southwark","E09000028","Upper tier local authority","2020-03-05",1,6
"Waltham Forest","E09000031","Upper tier local authority","2020-03-05",1,1
"England","E92000001","Country","2020-03-05",47,269
"Cambridgeshire","E10000003","Upper tier local authority","2020-03-05",1,2
"North Tyneside","E08000022","Upper tier local authority","2020-03-05",1,1
"Lancashire","E10000017","Upper tier local authority","2020-03-05",2,4
"North East","E12000001","Region","2020-03-05",2,4
"Northamptonshire","E10000021","Upper tier local authority","2020-03-05",1,3
"Newcastle upon Tyne","E08000021","Upper tier local authority","2020-03-05",1,3
"Tower Hamlets","E09000030","Upper tier local authority","2020-03-05",1,3
"Wigan","E08000010","Upper tier local authority","2020-03-05",1,4
"Leicestershire","E10000018","Upper tier local authority","2020-03-05",1,3
"Sheffield","E08000019","Upper tier local authority","2020-03-05",2,6
"Yorkshire and The Humber","E12000003","Region","2020-03-05",2,18
"Hillingdon","E09000017","Upper tier local authority","2020-03-05",2,4
"Bolton","E08000001","Upper tier local authority","2020-03-05",1,2
"London","E12000007","Region","2020-03-05",14,74
"East of England","E12000006","Region","2020-03-05",1,20
"Wolverhampton","E08000031","Upper tier local authority","2020-03-05",1,1
"Birmingham","E08000025","Upper tier local authority","2020-03-05",1,3
"Waltham Forest","E09000031","Upper tier local authority","2020-03-06",1,2
"Devon","E10000008","Upper tier local authority","2020-03-06",4,19
"Buckinghamshire","E10000002","Upper tier local authority","2020-03-06",1,3
"South West","E12000009","Region","2020-03-06",11,44
"Tower Hamlets","E09000030","Upper tier local authority","2020-03-06",1,4
"Camden","E09000007","Upper tier local authority","2020-03-06",1,3
"Slough","E06000039","Upper tier local authority","2020-03-06",1,1
"London","E12000007","Region","2020-03-06",23,97
"Barnet","E09000003","Upper tier local authority","2020-03-06",1,9
"Cornwall and Isles of Scilly","E06000052","Upper tier local authority","2020-03-06",2,5
"Swindon","E06000030","Upper tier local authority","2020-03-06",1,2
"Tameside","E08000008","Upper tier local authority","2020-03-06",1,1
"Nottinghamshire","E10000024","Upper tier local authority","2020-03-06",2,6
"Derby","E06000015","Upper tier local authority","2020-03-06",1,1
"Hammersmith and Fulham","E09000013","Upper tier local authority","2020-03-06",2,3
"Hertfordshire","E10000015","Upper tier local authority","2020-03-06",4,15
"Enfield","E09000010","Upper tier local authority","2020-03-06",1,2
"Surrey","E10000030","Upper tier local authority","2020-03-06",2,6
"North West","E12000002","Region","2020-03-06",2,36
"East of England","E12000006","Region","2020-03-06",5,25
"Lambeth","E09000022","Upper tier local authority","2020-03-06",1,3
"Essex","E10000012","Upper tier local authority","2020-03-06",1,5
"Richmond upon Thames","E09000027","Upper tier local authority","2020-03-06",2,2
"Northamptonshire","E10000021","Upper tier local authority","2020-03-06",2,5
"North Lincolnshire","E06000013","Upper tier local authority","2020-03-06",1,1
"North Yorkshire","E10000023","Upper tier local authority","2020-03-06",1,2
"Yorkshire and The Humber","E12000003","Region","2020-03-06",2,20
"Liverpool","E08000012","Upper tier local authority","2020-03-06",1,4
"Merton","E09000024","Upper tier local authority","2020-03-06",2,3
"Hackney","E09000012","Upper tier local authority","2020-03-06",1,2
"South East","E12000008","Region","2020-03-06",16,51
"Torbay","E06000027","Upper tier local authority","2020-03-06",1,5
"Somerset","E10000027","Upper tier local authority","2020-03-06",1,1
"Coventry","E08000026","Upper tier local authority","2020-03-06",1,2
"Leicestershire","E10000018","Upper tier local authority","2020-03-06",1,4
"Kent","E10000016","Upper tier local authority","2020-03-06",1,6
"Herefordshire, County of","E06000019","Upper tier local authority","2020-03-06",1,1
"Milton Keynes","E06000042","Upper tier local authority","2020-03-06",1,3
"Darlington","E06000005","Upper tier local authority","2020-03-06",1,1
"Windsor and Maidenhead","E06000040","Upper tier local authority","2020-03-06",1,1
"Oxfordshire","E10000025","Upper tier local authority","2020-03-06",3,7
"Hampshire","E10000014","Upper tier local authority","2020-03-06",6,9
"East Midlands","E12000004","Region","2020-03-06",7,27
"Derbyshire","E10000007","Upper tier local authority","2020-03-06",1,7
"Westminster","E09000033","Upper tier local authority","2020-03-06",5,9
"North East","E12000001","Region","2020-03-06",1,5
"Sutton","E09000029","Upper tier local authority","2020-03-06",1,2
"West Midlands","E12000005","Region","2020-03-06",2,20
"Bournemouth, Christchurch and Poole","E06000058","Upper tier local authority","2020-03-06",1,3
"Bristol, City of","E06000023","Upper tier local authority","2020-03-06",1,2
"Southwark","E09000028","Upper tier local authority","2020-03-06",2,8
"England","E92000001","Country","2020-03-06",73,342
"Havering","E09000016","Upper tier local authority","2020-03-06",2,2
"Cumbria","E10000006","Upper tier local authority","2020-03-07",1,5
"West Midlands","E12000005","Region","2020-03-07",5,25
"Southwark","E09000028","Upper tier local authority","2020-03-07",1,9
"Sutton","E09000029","Upper tier local authority","2020-03-07",1,3
"Newcastle upon Tyne","E08000021","Upper tier local authority","2020-03-07",1,4
"Westminster","E09000033","Upper tier local authority","2020-03-07",2,11
"East Midlands","E12000004","Region","2020-03-07",4,31
"North West","E12000002","Region","2020-03-07",6,42
"Suffolk","E10000029","Upper tier local authority","2020-03-07",1,1
"Oxfordshire","E10000025","Upper tier local authority","2020-03-07",1,8
"Ealing","E09000009","Upper tier local authority","2020-03-07",1,7
"Brighton and Hove","E06000043","Upper tier local authority","2020-03-07",1,4
"Leeds","E08000035","Upper tier local authority","2020-03-07",2,5
"Sunderland","E08000024","Upper tier local authority","2020-03-07",1,1
"Bolton","E08000001","Upper tier local authority","2020-03-07",1,3
"Lambeth","E09000022","Upper tier local authority","2020-03-07",2,5
"Croydon","E09000008","Upper tier local authority","2020-03-07",1,1
"Shropshire","E06000051","Upper tier local authority","2020-03-07",1,1
"Torbay","E06000027","Upper tier local authority","2020-03-07",1,6
"South East","E12000008","Region","2020-03-07",4,55
"Greenwich","E09000011","Upper tier local authority","2020-03-07",1,1
"Liverpool","E08000012","Upper tier local authority","2020-03-07",1,5
"Yorkshire and The Humber","E12000003","Region","2020-03-07",5,25
"North East","E12000001","Region","2020-03-07",2,7
"Oldham","E08000004","Upper tier local authority","2020-03-07",2,4
"Lewisham","E09000023","Upper tier local authority","2020-03-07",1,3
"Bury","E08000002","Upper tier local authority","2020-03-07",1,4
"Dudley","E08000027","Upper tier local authority","2020-03-07",1,1
"Northamptonshire","E10000021","Upper tier local authority","2020-03-07",1,6
"Brent","E09000005","Upper tier local authority","2020-03-07",1,2
"South West","E12000009","Region","2020-03-07",2,46
"East of England","E12000006","Region","2020-03-07",3,28
"England","E92000001","Country","2020-03-07",47,389
"Hertfordshire","E10000015","Upper tier local authority","2020-03-07",2,17
"Sheffield","E08000019","Upper tier local authority","2020-03-07",3,9
"Nottinghamshire","E10000024","Upper tier local authority","2020-03-07",2,8
"Nottingham","E06000018","Upper tier local authority","2020-03-07",1,3
"Buckinghamshire","E10000002","Upper tier local authority","2020-03-07",1,4
"London","E12000007","Region","2020-03-07",14,111
"Tower Hamlets","E09000030","Upper tier local authority","2020-03-07",1,5
"Bristol, City of","E06000023","Upper tier local authority","2020-03-07",1,3
"Camden","E09000007","Upper tier local authority","2020-03-07",1,4
"West Berkshire","E06000037","Upper tier local authority","2020-03-07",1,1
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-03-07",1,17
"Wolverhampton","E08000031","Upper tier local authority","2020-03-07",3,4
"Wolverhampton","E08000031","Upper tier local authority","2020-03-08",1,5
"London","E12000007","Region","2020-03-08",22,133
"Shropshire","E06000051","Upper tier local authority","2020-03-08",1,2
"South West","E12000009","Region","2020-03-08",3,49
"Buckinghamshire","E10000002","Upper tier local authority","2020-03-08",1,5
"Reading","E06000038","Upper tier local authority","2020-03-08",1,1
"South East","E12000008","Region","2020-03-08",10,65
"Yorkshire and The Humber","E12000003","Region","2020-03-08",3,28
"Sheffield","E08000019","Upper tier local authority","2020-03-08",3,12
"Hampshire","E10000014","Upper tier local authority","2020-03-08",1,10
"Tower Hamlets","E09000030","Upper tier local authority","2020-03-08",1,6
"Islington","E09000019","Upper tier local authority","2020-03-08",1,2
"Gloucestershire","E10000013","Upper tier local authority","2020-03-08",1,4
"Southwark","E09000028","Upper tier local authority","2020-03-08",2,11
"North West","E12000002","Region","2020-03-08",5,47
"Bromley","E09000006","Upper tier local authority","2020-03-08",1,2
"Ealing","E09000009","Upper tier local authority","2020-03-08",1,8
"Westminster","E09000033","Upper tier local authority","2020-03-08",1,12
"Hackney","E09000012","Upper tier local authority","2020-03-08",1,3
"Derbyshire","E10000007","Upper tier local authority","2020-03-08",1,8
"Wirral","E08000015","Upper tier local authority","2020-03-08",2,3
"Haringey","E09000014","Upper tier local authority","2020-03-08",1,1
"Oxfordshire","E10000025","Upper tier local authority","2020-03-08",1,9
"West Midlands","E12000005","Region","2020-03-08",4,29
"Hertfordshire","E10000015","Upper tier local authority","2020-03-08",2,19
"Brent","E09000005","Upper tier local authority","2020-03-08",1,3
"Wandsworth","E09000032","Upper tier local authority","2020-03-08",2,5
"England","E92000001","Country","2020-03-08",50,439
"Barking and Dagenham","E09000002","Upper tier local authority","2020-03-08",1,2
"Enfield","E09000010","Upper tier local authority","2020-03-08",1,3
"Barnet","E09000003","Upper tier local authority","2020-03-08",1,10
"East Midlands","E12000004","Region","2020-03-08",1,32
"Kent","E10000016","Upper tier local authority","2020-03-08",1,7
"Devon","E10000008","Upper tier local authority","2020-03-08",1,20
"East of England","E12000006","Region","2020-03-08",2,30
"Surrey","E10000030","Upper tier local authority","2020-03-08",2,8
"Kingston upon Thames","E09000021","Upper tier local authority","2020-03-08",1,2
"Birmingham","E08000025","Upper tier local authority","2020-03-08",1,4
"Slough","E06000039","Upper tier local authority","2020-03-08",3,4
"South Gloucestershire","E06000025","Upper tier local authority","2020-03-08",1,1
"Camden","E09000007","Upper tier local authority","2020-03-08",2,6
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-03-08",2,19
"Coventry","E08000026","Upper tier local authority","2020-03-08",1,3
"Hillingdon","E09000017","Upper tier local authority","2020-03-08",2,6
"Cumbria","E10000006","Upper tier local authority","2020-03-08",3,8
"Waltham Forest","E09000031","Upper tier local authority","2020-03-09",1,3
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-03-09",4,23
"Southend-on-Sea","E06000033","Upper tier local authority","2020-03-09",1,2
"London","E12000007","Region","2020-03-09",53,186
"Tower Hamlets","E09000030","Upper tier local authority","2020-03-09",2,8
"Nottingham","E06000018","Upper tier local authority","2020-03-09",1,4
"Buckinghamshire","E10000002","Upper tier local authority","2020-03-09",2,7
"East of England","E12000006","Region","2020-03-09",4,34
"Stockton-on-Tees","E06000004","Upper tier local authority","2020-03-09",1,1
"Essex","E10000012","Upper tier local authority","2020-03-09",1,6
"Rotherham","E08000018","Upper tier local authority","2020-03-09",2,3
"West Midlands","E12000005","Region","2020-03-09",8,37
"Hertfordshire","E10000015","Upper tier local authority","2020-03-09",2,21
"Barnet","E09000003","Upper tier local authority","2020-03-09",3,13
"Surrey","E10000030","Upper tier local authority","2020-03-09",3,11
"Hammersmith and Fulham","E09000013","Upper tier local authority","2020-03-09",3,6
"Barking and Dagenham","E09000002","Upper tier local authority","2020-03-09",1,3
"Harrow","E09000015","Upper tier local authority","2020-03-09",5,6
"North Somerset","E06000024","Upper tier local authority","2020-03-09",1,1
"Cornwall and Isles of Scilly","E06000052","Upper tier local authority","2020-03-09",1,6
"Lincolnshire","E10000019","Upper tier local authority","2020-03-09",1,3
"Northamptonshire","E10000021","Upper tier local authority","2020-03-09",2,8
"Cumbria","E10000006","Upper tier local authority","2020-03-09",1,9
"Merton","E09000024","Upper tier local authority","2020-03-09",1,4
"Yorkshire and The Humber","E12000003","Region","2020-03-09",7,35
"West Sussex","E10000032","Upper tier local authority","2020-03-09",2,5
"Enfield","E09000010","Upper tier local authority","2020-03-09",1,4
